avg_salary_k,rating,size,job_location,age,python,visual_software,ML_software,spark,aws,excel,sql,sas,hadoop,degree,in_CA,senior_status
61.0,4.1,501 - 1000 ,MO,60,0,0,0,0,0,1,1,0,0,MS,False,False
120.0,2.6,501 - 1000 ,PA,37,1,0,0,0,0,0,0,0,0,PHD,False,False
124.5,3.2,1001 - 5000 ,AZ,13,1,0,1,0,0,1,1,0,0,Other,False,False
148.0,3.9,51 - 200 ,CA,12,1,0,0,0,0,0,0,0,0,MS,True,True
59.0,4.7,51 - 200 ,AL,25,1,0,0,0,0,1,0,0,0,Other,False,False
146.5,3.7,5001 - 10000 ,MA,169,1,0,0,0,0,1,1,1,0,MS,False,True
133.0,3.0,501 - 1000 ,IL,6,1,0,1,0,1,0,1,0,0,PHD,False,True
140.5,4.7,51 - 200 ,UT,8,1,0,1,0,1,0,0,0,0,Other,False,True
84.5,3.3,10000+ ,NY,7,0,0,0,0,0,0,0,0,0,PHD,False,True
93.5,4.0,51 - 200 ,MD,19,0,0,0,0,0,1,0,0,0,MS,False,False
134.5,4.4,201 - 500 ,MA,8,0,0,0,0,0,0,0,0,0,PHD,False,True
181.0,3.9,201 - 500 ,CA,14,1,0,1,1,0,0,1,0,0,Other,True,False
84.5,3.3,10000+ ,NY,7,0,0,0,0,0,0,0,0,0,PHD,False,True
205.0,4.1,51 - 200 ,CA,11,1,0,0,1,1,0,1,0,0,Other,True,True
48.5,3.6,1001 - 5000 ,CA,35,0,1,0,0,0,1,1,1,0,MS,True,False
44.5,4.0,1001 - 5000 ,TX,44,0,0,0,0,1,0,0,0,0,Other,False,False
124.0,2.6,501 - 1000 ,PA,37,0,0,0,0,0,0,0,0,0,PHD,False,True
64.0,3.5,501 - 1000 ,CA,25,0,1,0,0,0,0,1,0,0,Other,True,False
98.0,3.0,10000+ ,TN,63,1,0,0,0,0,0,1,0,0,MS,False,True
56.5,3.6,1001 - 5000 ,DE,86,0,0,0,0,0,0,0,0,0,Other,False,False
54.0,3.3,501 - 1000 ,WI,57,0,0,0,0,0,0,0,0,0,Other,False,False
81.0,2.7,201 - 500 ,MD,60,0,0,0,0,0,1,0,0,0,PHD,False,False
107.5,3.4,1001 - 5000 ,IL,16,0,0,0,0,0,0,1,0,0,Other,False,True
89.0,3.7,10000+ ,VA,26,1,1,0,1,0,1,1,0,1,Other,False,False
100.5,4.8,1001 - 5000 ,WI,96,0,0,0,0,0,0,0,1,0,MS,False,True
65.0,3.8,1001 - 5000 ,NY,19,0,1,0,0,0,1,1,0,0,Other,False,False
41.5,3.4,10000+ ,LA,91,0,0,0,0,0,0,0,0,0,MS,False,False
72.5,4.3,201 - 500 ,TX,22,1,1,0,1,1,1,1,0,1,MS,False,False
87.5,3.4,51 - 200 ,IL,29,0,0,0,0,0,0,1,1,0,Other,False,False
92.5,3.1,1001 - 5000 ,CA,24,1,1,0,0,0,1,1,0,1,Other,True,False
81.5,3.2,5001 - 10000 ,VA,63,1,0,0,1,0,0,0,0,1,Other,False,False
79.0,4.3,1001 - 5000 ,OH,40,0,0,0,0,0,0,1,0,0,Other,False,False
69.0,3.4,51 - 200 ,CA,8,1,1,0,0,0,1,1,0,0,Other,True,False
